,,,,,,,,,,,,,
VCAA Code,School Name,Sector,Locality,TOTAL COMPLETED YEAR 12 (NUMBER),ON TRACK CONSENTERS (NUMBER),ON TRACK RESPONDENTS (NUMBER),BACHELOR ENROLLED (PER CENT),DEFERRED (PER CENT), TAFE / VET ENROLLED (PER CENT),APPRENTICE / TRAINEE (PER CENT),EMPLOYED (PER CENT),LOOKING FOR WORK (PER CENT),Other (PER CENT)
01050,DE LA SALLE COLLEGE,C,MALVERN - GLEN IRIS,164,139,89,65,4,15,8,6,1,1
01628,DIAMOND VALLEY COLLEGE,G,WATTLE GLEN - DIAMOND CREEK,85,85,45,38,11,27,16,7,2,0
01465,DIMBOOLA MEMORIAL SECONDARY COLLEGE,G,NHILL REGION,18,16,11,9,0,9,27,27,27,0
01114,DISTANCE EDUCATION CENTRE VICTORIA,G,THORNBURY,158,103,63,38,14,19,5,11,6,6
01360,DONALD HIGH SCHOOL,G,BULOKE,20,19,16,56,19,6,6,6,6,0
01253,DONCASTER SECONDARY COLLEGE,G,DONCASTER,210,161,106,57,15,15,5,6,2,1
01571,DONVALE CHRISTIAN COLLEGE,I,DONVALE - PARK ORCHARDS,86,71,57,63,4,23,5,5,0,0
01202,DROUIN SECONDARY COLLEGE,G,DROUIN,105,66,49,35,10,16,8,24,6,0
01304,EAST DONCASTER SECONDARY COLLEGE,G,DONCASTER EAST,252,198,144,69,6,14,8,2,1,0
01051,ECHUCA COLLEGE,G,ECHUCA,64,33,23,17,26,9,13,35,0,0
01355,EDINBURGH COLLEGE,I,LILYDALE - COLDSTREAM,29,25,20,50,10,15,5,15,5,0
01736,ELISABETH MURDOCH COLLEGE,G,LANGWARRIN,190,189,131,34,6,16,7,34,2,1
01208,ELTHAM HIGH SCHOOL,G,ELTHAM,216,210,158,56,12,10,6,13,3,0
01147,ELWOOD COLLEGE,G,ELWOOD,64,57,31,48,16,10,10,13,0,3
01732,EMERALD SECONDARY COLLEGE,G,EMERALD - COCKATOO,107,75,55,47,11,4,13,18,5,2
01344,EMMANUEL COLLEGE,C,ALTONA NORTH,251,216,145,59,3,13,9,12,3,0
01410,EMMAUS COLLEGE,C,VERMONT SOUTH,195,174,108,66,10,16,5,3,1,0
01098,EPPING SECONDARY COLLEGE,G,EPPING,134,134,94,37,3,26,14,14,5,1
