"school","small_school","locality","num_vce_students_enrolled","num_vce_studies","num_vet_students_enrolled","num_vcal_students_enrolled","percent_vce_studs_apply_tert","median_vce_ss","percent_ss_40plus","year","school_loc"
"Frankston High School",NA,"FRANKSTON","437","51","113","-","83.6","30","8.7",2014,"Frankston High School   FRANKSTON"
"Galen College",NA,"WANGARATTA","203","51","153","42","90.6","29","5.1",2014,"Galen College   WANGARATTA"
"Geelong Baptist College",NA,"LOVELY BANKS","30","28","11","5","55.6","26","0",2014,"Geelong Baptist College   LOVELY BANKS"
"Geelong Grammar School",NA,"CORIO","258","37","4","-","83.2","33","13.9",2014,"Geelong Grammar School   CORIO"
"Geelong High School",NA,"EAST GEELONG","190","53","87","16","60","26","1.2",2014,"Geelong High School   EAST GEELONG"
"Geelong Lutheran College","*","ARMSTRONG CREEK","18","25","15","5","55.6","31","7.1",2014,"Geelong Lutheran College   ARMSTRONG CREEK"
"Genazzano F.C.J. College",NA,"KEW","278","51","17","-","99.3","35","21.6",2014,"Genazzano F.C.J. College   KEW"
"Gilmore College For Girls",NA,"FOOTSCRAY","55","17","-","-","98.1","24","1.6",2014,"Gilmore College For Girls   FOOTSCRAY"
"Gilson College",NA,"TAYLORS HILL","99","31","105","-","94.4","28","4.7",2014,"Gilson College   TAYLORS HILL"
"Gippsland Grammar",NA,"SALE","183","40","62","7","93.9","32","9.9",2014,"Gippsland Grammar   SALE"
"Girton Grammar School",NA,"BENDIGO","215","48","27","-","94.9","33","18.0",2014,"Girton Grammar School   BENDIGO"
"Gisborne Secondary College",NA,"GISBORNE","249","65","173","38","66.400000000000006","27","2.8",2014,"Gisborne Secondary College   GISBORNE"
"Gladstone Park Sec College",NA,"GLADSTONE PARK","347","56","120","70","98.1","29","3.6",2014,"Gladstone Park Sec College   GLADSTONE PARK"
"Glen Eira College",NA,"CAULFIELD EAST","91","37","14","-","94.1","28","5.0",2014,"Glen Eira College   CAULFIELD EAST"
"Glen Waverley Sec College",NA,"GLEN WAVERLEY","585","61","37","-","96.7","34","20.3",2014,"Glen Waverley Sec College   GLEN WAVERLEY"
"Gleneagles Secondary College",NA,"ENDEAVOUR HILLS","177","58","34","-","97.4","28","4.2",2014,"Gleneagles Secondary College   ENDEAVOUR HILLS"
"Glenroy Neighbourhood Centre",NA,"GLENROY","-","-","25","42","-","-","-",2014,"Glenroy Neighbourhood Centre   GLENROY"
"Glenroy Secondary College",NA,"GLENROY","65","24","48","49","53.7","26","2.3",2014,"Glenroy Secondary College   GLENROY"
"Glenvale School",NA,"YARRAMBAT","120","15","165","-","0","31","14.9",2014,"Glenvale School   YARRAMBAT"
"Goldfields Employment & Learn","*","MARYBOROUGH","5","5","13","45","-","-","-",2014,"Goldfields Employment & Learn   MARYBOROUGH"
"Good Shepherd College","*","HAMILTON","12","8","< 4","-","50","27","0",2014,"Good Shepherd College   HAMILTON"
"Gordon Institute",NA,"GEELONG","190","51","257","254","44.1","21","0",2014,"Gordon Institute   GEELONG"
"Goroke P-12 College","*","GOROKE","16","16","11","8","71.400000000000006","27","0",2014,"Goroke P-12 College   GOROKE"
"Goulburn Ovens Inst of TAFE",NA,"SHEPPARTON","611","23","708","715","I/D","-","-",2014,"Goulburn Ovens Inst of TAFE   SHEPPARTON"
"Goulburn Valley Grammar Schl",NA,"SHEPPARTON","150","35","7","-","96.6","33","16.5",2014,"Goulburn Valley Grammar Schl   SHEPPARTON"
"Greensborough Sec College",NA,"GREENSBOROUGH","256","43","201","70","81.400000000000006","27","4.8",2014,"Greensborough Sec College   GREENSBOROUGH"
"Grovedale College",NA,"GROVEDALE","228","50","222","107","72.3","27","1.3",2014,"Grovedale College   GROVEDALE"
"Haileybury College",NA,"KEYSBOROUGH","442","52","71","-","90","35","25.0",2014,"Haileybury College   KEYSBOROUGH"
"Haileybury Girls College",NA,"KEYSBOROUGH","285","52","28","-","94.3","36","25.8",2014,"Haileybury Girls College   KEYSBOROUGH"
"Hallam Senior Sec College",NA,"HALLAM","409","69","542","285","58","22","0.1",2014,"Hallam Senior Sec College   HALLAM"
"Hampton Park Sec College",NA,"HAMPTON PARK","269","64","105","72","86.8","24","1.5",2014,"Hampton Park Sec College   HAMPTON PARK"
"Hawkesdale College",NA,"HAWKESDALE","37","26","18","9","60","29","2.1",2014,"Hawkesdale College   HAWKESDALE"
"Healesville High School",NA,"HEALESVILLE","71","27","46","24","79.5","25","1.0",2014,"Healesville High School   HEALESVILLE"
"Heathdale Christian College",NA,"WERRIBEE","123","46","148","18","95.4","28","4.4",2014,"Heathdale Christian College   WERRIBEE"
"Heatherton Christian College",NA,"CLARINDA","53","24","22","-","71.900000000000006","30","13.0",2014,"Heatherton Christian College   CLARINDA"
"Heathmont College",NA,"HEATHMONT","126","44","59","46","60.6","29","2.9",2014,"Heathmont College   HEATHMONT"
"Heritage College",NA,"OFFICER","39","17","16","8","90.5","26","1.7",2014,"Heritage College   OFFICER"
"Heywood & District Sec College",NA,"HEYWOOD","52","28","39","29","85.7","27","1.4",2014,"Heywood & District Sec College   HEYWOOD"
"Highvale Secondary College",NA,"GLEN WAVERLEY","197","41","9","-","82.7","30","4.1",2014,"Highvale Secondary College   GLEN WAVERLEY"
"Highview Christian Comm College",NA,"MARYBOROUGH","88","43","37","-","77.099999999999994","29","2.9",2014,"Highview Christian Comm College   MARYBOROUGH"
"Hillcrest Christian College",NA,"CLYDE NORTH","189","33","17","-","93.8","30","6.7",2014,"Hillcrest Christian College   CLYDE NORTH"
"Holmes Secondary College","*","MELBOURNE","17","12","60","63","87.5","23","0",2014,"Holmes Secondary College   MELBOURNE"
"Holmesglen Institute of TAFE",NA,"HOLMESGLEN","37","12","39","39","44.4","22","0",2014,"Holmesglen Institute of TAFE   HOLMESGLEN"
