"school","small_school","locality","num_vce_students_enrolled","num_vce_studies","num_vet_students_enrolled","num_vcal_students_enrolled","percent_vce_studs_apply_tert","median_vce_ss","percent_ss_40plus","year","school_loc"
"Benalla P-12 College",NA,"BENALLA","99","28","102","38","57.1","24","0",2019,"Benalla P-12 College   BENALLA"
"Bendigo Senior Sec College",NA,"BENDIGO","1132","70","725","306","55.6","26","2.7",2019,"Bendigo Senior Sec College   BENDIGO"
"Bendigo TAFE","*","BENDIGO","5","4","116","123","-","-","-",2019,"Bendigo TAFE   BENDIGO"
"Bentleigh Secondary College",NA,"BENTLEIGH EAST","255","40","8","-","75","28","4.1",2019,"Bentleigh Secondary College   BENTLEIGH EAST"
"Berry Street Victoria","*","RICHMOND","< 4","1","49","47","I/D","I/D","I/D",2019,"Berry Street Victoria   RICHMOND"
"Berwick Grammar School",NA,"OFFICER","60","22","< 4","-","89.3","32","7.1",2019,"Berwick Grammar School   OFFICER"
"Berwick Secondary College",NA,"BERWICK","394","58","291","88","85.1","29","3.8",2019,"Berwick Secondary College   BERWICK"
"Beth Rivkah Ladies College",NA,"ST KILDA EAST","67","19","73","< 4","78.900000000000006","36","30.5",2019,"Beth Rivkah Ladies College   ST KILDA EAST"
"Bialik College",NA,"HAWTHORN EAST","149","30","71","-","100","39","44.3",2019,"Bialik College   HAWTHORN EAST"
"Billanook College",NA,"MOOROOLBARK","178","44","45","-","92.5","31","8.0",2019,"Billanook College   MOOROOLBARK"
"Birchip P-12 School",NA,"BIRCHIP","31","18","31","11","90","31","6.1",2019,"Birchip P-12 School   BIRCHIP"
"Blackburn High School",NA,"BLACKBURN","263","53","34","< 4","75.900000000000006","29","5.9",2019,"Blackburn High School   BLACKBURN"
"Boort District P-12 School",NA,"BOORT","29","24","21","10","83.3","31","12.5",2019,"Boort District P-12 School   BOORT"
"Boronia K-12 College",NA,"BORONIA","62","31","56","26","55.2","24","0",2019,"Boronia K-12 College   BORONIA"
"Box Hill High School",NA,"BOX HILL","379","57","51","-","95.9","33","14.7",2019,"Box Hill High School   BOX HILL"
"Box Hill Institute",NA,"BOX HILL","124","33","155","295","-","-","-",2019,"Box Hill Institute   BOX HILL"
"Box Hill Institute - CAE campus",NA,"MELBOURNE","145","27","< 4","-","40","24","3.7",2019,"Box Hill Institute - CAE campus   MELBOURNE"
"Box Hill Senior Sec College",NA,"MONT ALBERT NORTH","208","43","143","21","62.6","25","1.0",2019,"Box Hill Senior Sec College   MONT ALBERT NORTH"
"Braemar College",NA,"WOODEND","180","36","46","-","89.6","32","10.4",2019,"Braemar College   WOODEND"
"Brauer College",NA,"WARRNAMBOOL","183","39","104","32","61.6","27","2.8",2019,"Brauer College   WARRNAMBOOL"
"Braybrook College",NA,"BRAYBROOK","307","40","337","75","93","30","7.0",2019,"Braybrook College   BRAYBROOK"
"Brentwood Secondary College",NA,"GLEN WAVERLEY","380","50","76","-","87","29","5.5",2019,"Brentwood Secondary College   GLEN WAVERLEY"
"Bright P-12 College",NA,"BRIGHT","39","25","34","19","57.7","28","2.7",2019,"Bright P-12 College   BRIGHT"
"Brighton Grammar School",NA,"BRIGHTON","223","35","< 4","-","97.7","33","18.0",2019,"Brighton Grammar School   BRIGHTON"
"Brighton Secondary College",NA,"BRIGHTON EAST","342","52","63","-","80.400000000000006","29","5.8",2019,"Brighton Secondary College   BRIGHTON EAST"
"Broadford Secondary College",NA,"BROADFORD","111","35","99","51","48.7","28","1.9",2019,"Broadford Secondary College   BROADFORD"
"Brunswick Secondary College",NA,"BRUNSWICK","197","48","41","32","80.599999999999994","29","5.3",2019,"Brunswick Secondary College   BRUNSWICK"
"Buckley Park College",NA,"ESSENDON","216","57","44","41","91.1","30","8.0",2019,"Buckley Park College   ESSENDON"
"Bundoora Secondary College",NA,"BUNDOORA","91","30","67","20","81.099999999999994","22","0",2019,"Bundoora Secondary College   BUNDOORA"
"Camberwell Anglican Girls GS",NA,"CANTERBURY","164","35","4","-","100","36","29.8",2019,"Camberwell Anglican Girls GS   CANTERBURY"
"Camberwell Grammar School",NA,"CANTERBURY","304","43","42","-","98.2","35","25.9",2019,"Camberwell Grammar School   CANTERBURY"
"Camberwell High School",NA,"CANTERBURY","307","64","86","20","86.1","30","5.6",2019,"Camberwell High School   CANTERBURY"
"Camperdown College",NA,"CAMPERDOWN","23","14","35","12","66.7","32","8.8",2019,"Camperdown College   CAMPERDOWN"
"Cann River P-12 College","*","CANN RIVER","8","9","10","-","100","29","0",2019,"Cann River P-12 College   CANN RIVER"
"Canterbury Girls Sec College",NA,"CANTERBURY","297","46","26","-","86.9","32","12.4",2019,"Canterbury Girls Sec College   CANTERBURY"
"Carey Baptist Grammar School",NA,"KEW","238","42","10","-","94.9","33","12.9",2019,"Carey Baptist Grammar School   KEW"
"Caroline Chisholm Catholic Coll",NA,"BRAYBROOK","334","85","203","73","94","28","2.6",2019,"Caroline Chisholm Catholic Coll   BRAYBROOK"
"Carrum Downs Sec College",NA,"CARRUM DOWNS","166","59","102","84","76.099999999999994","25","0",2019,"Carrum Downs Sec College   CARRUM DOWNS"
"Carwatha College P-12",NA,"NOBLE PARK NORTH","118","31","31","24","81","26","3.5",2019,"Carwatha College P-12   NOBLE PARK NORTH"
"Casey Grammar School",NA,"CRANBOURNE","127","40","17","-","72.2","30","8.9",2019,"Casey Grammar School   CRANBOURNE"
"Casterton Secondary College",NA,"CASTERTON","33","25","27","27","75","32","0",2019,"Casterton Secondary College   CASTERTON"
"Castlemaine Secondary College",NA,"CASTLEMAINE","142","39","90","37","54.1","28","4.6",2019,"Castlemaine Secondary College   CASTLEMAINE"
"Cathedral College",NA,"WANGARATTA","92","37","22","-","85.5","27","1.7",2019,"Cathedral College   WANGARATTA"
"Catherine McAuley College",NA,"BENDIGO","392","47","186","82","85.2","29","8.1",2019,"Catherine McAuley College   BENDIGO"
"Catholic College Sale",NA,"SALE","182","27","146","39","68.3","29","8.1",2019,"Catholic College Sale   SALE"
"Catholic College Wodonga",NA,"WODONGA","224","40","161","33","65.900000000000006","28","2.8",2019,"Catholic College Wodonga   WODONGA"
"Catholic Ladies College",NA,"ELTHAM","210","47","88","35","94.5","31","7.7",2019,"Catholic Ladies College   ELTHAM"
"Catholic Regional College","*","CAROLINE SPRINGS","8","4","47","13","-","-","-",2019,"Catholic Regional College   CAROLINE SPRINGS"
"Catholic Regional College",NA,"MELTON WEST","204","52","203","66","90.1","28","1.2",2019,"Catholic Regional College   MELTON WEST"
"Catholic Regional College",NA,"SYDENHAM","678","65","508","124","84.6","29","3.9",2019,"Catholic Regional College   SYDENHAM"
"Caulfield Grammar School",NA,"WHEELERS HILL","291","42","50","-","98.8","35","19.8",2019,"Caulfield Grammar School   WHEELERS HILL"
"Caulfield Grammar School",NA,"ST KILDA EAST","437","49","343","-","97.4","35","22.6",2019,"Caulfield Grammar School   ST KILDA EAST"
"Chaffey Secondary College","*","MILDURA","< 4","1","10","17","I/D","I/D","I/D",2019,"Chaffey Secondary College   MILDURA"
"Chairo Christian School",NA,"DROUIN","163","49","59","32","79.5","29","4.7",2019,"Chairo Christian School   DROUIN"
"Charles La Trobe P-12 College",NA,"PRESTON","34","13","72","172","-","I/D","I/D",2019,"Charles La Trobe P-12 College   PRESTON"
"Charles La Trobe P-12 College",NA,"MACLEOD WEST","60","36","35","-","94.9","24","1.7",2019,"Charles La Trobe P-12 College   MACLEOD WEST"
"Charlton College","*","CHARLTON","17","23","28","20","100","30","0",2019,"Charlton College   CHARLTON"
"Cheltenham Secondary College",NA,"CHELTENHAM","203","58","203","42","89.2","29","6.4",2019,"Cheltenham Secondary College   CHELTENHAM"
"Chisholm Institute",NA,"FRANKSTON","113","26","176","171","46.8","25","0",2019,"Chisholm Institute   FRANKSTON"
"Chisholm Institute of TAFE",NA,"DANDENONG","166","27","275","282","53.7","21","0",2019,"Chisholm Institute of TAFE   DANDENONG"
"Christian Brothers' College",NA,"ST KILDA EAST","116","49","44","25","90.5","29","5.2",2019,"Christian Brothers' College   ST KILDA EAST"
"Christian College Institute",NA,"WAURN PONDS","299","65","94","26","80.599999999999994","30","5.5",2019,"Christian College Institute   WAURN PONDS"
"Cire Community School","*","YARRA JUNCTION","13","8","57","100","-","-","-",2019,"Cire Community School   YARRA JUNCTION"
"Clonard College",NA,"HERNE HILL","222","56","102","42","71.7","30","7.0",2019,"Clonard College   HERNE HILL"
"Cobden Technical School",NA,"COBDEN","31","17","19","22","75","23","0",2019,"Cobden Technical School   COBDEN"
"Cobram Anglican Grammar School",NA,"COBRAM","29","19","15","-","88.9","27","0",2019,"Cobram Anglican Grammar School   COBRAM"
"Cobram Secondary College",NA,"COBRAM","62","25","26","31","71.400000000000006","28","1.7",2019,"Cobram Secondary College   COBRAM"
"Coburg High School",NA,"COBURG","27","10","26","-","-","29","9.1",2019,"Coburg High School   COBURG"
"Cohuna Secondary College",NA,"COHUNA","51","26","24","11","76.7","29","9.9",2019,"Cohuna Secondary College   COHUNA"
"Colac Secondary College",NA,"COLAC","68","25","36","9","27.5","24","1.3",2019,"Colac Secondary College   COLAC"
"Collingwood College",NA,"COLLINGWOOD","64","42","40","26","65.599999999999994","27","7.5",2019,"Collingwood College   COLLINGWOOD"
"Copperfield College",NA,"DELAHEY","354","60","369","184","80.099999999999994","28","1.7",2019,"Copperfield College   DELAHEY"
"Cornish College",NA,"BANGHOLME","94","46","33","-","91.9","28","2.0",2019,"Cornish College   BANGHOLME"
"Corryong College",NA,"CORRYONG","42","23","37","7","68.8","30","7.5",2019,"Corryong College   CORRYONG"
"Covenant College",NA,"BELL POST HILL","83","41","30","22","81.099999999999994","30","9.5",2019,"Covenant College   BELL POST HILL"
"Craigieburn Secondary College",NA,"CRAIGIEBURN","189","36","291","62","83.3","23","1.5",2019,"Craigieburn Secondary College   CRAIGIEBURN"
"Cranbourne East Sec College",NA,"CRANBOURNE EAST","156","47","170","125","96.9","30","2.1",2019,"Cranbourne East Sec College   CRANBOURNE EAST"
"Cranbourne Secondary College",NA,"CRANBOURNE","173","39","214","143","97.4","27","1.5",2019,"Cranbourne Secondary College   CRANBOURNE"
"Croydon Community School","*","CROYDON","8","7","28","44","-","-","-",2019,"Croydon Community School   CROYDON"
"Damascus College",NA,"MOUNT CLEAR","189","44","109","51","70.8","28","3.7",2019,"Damascus College   MOUNT CLEAR"
"Dandenong High School",NA,"DANDENONG","423","73","283","95","88.5","24","0.8",2019,"Dandenong High School   DANDENONG"
"Darul Ulum College of Victoria",NA,"FAWKNER","107","14","-","-","51.3","31","8.2",2019,"Darul Ulum College of Victoria   FAWKNER"
"Daylesford Secondary College",NA,"DAYLESFORD","79","26","110","17","70","26","3.2",2019,"Daylesford Secondary College   DAYLESFORD"
"De La Salle College",NA,"MALVERN","193","43","76","30","96.5","31","7.8",2019,"De La Salle College   MALVERN"
"Derrinallum P12 College","*","DERRINALLUM","6","7","6","< 4","40","26","0",2019,"Derrinallum P12 College   DERRINALLUM"
"Diamond Valley College",NA,"DIAMOND CREEK","160","49","119","32","92.6","28","3.7",2019,"Diamond Valley College   DIAMOND CREEK"
"Diamond Valley Learn Centre",NA,"GREENSBOROUGH","-","-","72","75","-","-","-",2019,"Diamond Valley Learn Centre   GREENSBOROUGH"
"Dimboola Memorial Sec College",NA,"DIMBOOLA","22","17","35","17","70","31","6.8",2019,"Dimboola Memorial Sec College   DIMBOOLA"
"Diversitat","*","GEELONG","4","4","10","11","-","-","-",2019,"Diversitat   GEELONG"
"Djerriwarrh Emp. & Edu. Servic.",NA,"MELTON","-","-","18","30","-","-","-",2019,"Djerriwarrh Emp. & Edu. Servic.   MELTON"
"Donald High School",NA,"DONALD","26","19","18","28","70.599999999999994","28","2.4",2019,"Donald High School   DONALD"
"Doncaster Secondary College",NA,"DONCASTER","330","64","63","49","89.8","29","4.2",2019,"Doncaster Secondary College   DONCASTER"
"Donvale Christian College",NA,"DONVALE","188","36","42","-","91.7","33","12.3",2019,"Donvale Christian College   DONVALE"
"Dromana Secondary College",NA,"DROMANA","227","49","232","156","75.5","31","3.6",2019,"Dromana Secondary College   DROMANA"
"Drouin Secondary College",NA,"DROUIN","157","49","164","74","79.7","28","2.9",2019,"Drouin Secondary College   DROUIN"
"East Doncaster Sec College",NA,"DONCASTER EAST","363","59","80","25","99.2","32","10.2",2019,"East Doncaster Sec College   DONCASTER EAST"
"East Loddon P-12 College","*","DINGEE","15","14","7","< 4","88.9","34","17.8",2019,"East Loddon P-12 College   DINGEE"
"East Preston Islamic College",NA,"PRESTON EAST","45","18","59","18","100","23","0.9",2019,"East Preston Islamic College   PRESTON EAST"
"Echuca College",NA,"ECHUCA","165","28","194","27","52.6","27","2.1",2019,"Echuca College   ECHUCA"
"Edenhope College","*","EDENHOPE","16","10","14","14","71.400000000000006","25","0",2019,"Edenhope College   EDENHOPE"
"Edinburgh College",NA,"LILYDALE","23","16","28","-","45.5","31","11.8",2019,"Edinburgh College   LILYDALE"
"Education Centre Gippsland","*","WARRAGUL","10","15","125","154","-","-","-",2019,"Education Centre Gippsland   WARRAGUL"
"Elisabeth Murdoch College",NA,"LANGWARRIN","281","53","309","124","65","27","2.7",2019,"Elisabeth Murdoch College   LANGWARRIN"
"Eltham College",NA,"RESEARCH","115","45","85","-","96.6","34","20.0",2019,"Eltham College   RESEARCH"
"Eltham High School",NA,"ELTHAM","302","53","98","24","68.099999999999994","30","4.8",2019,"Eltham High School   ELTHAM"
"Elwood College",NA,"ELWOOD","158","47","34","-","75.599999999999994","30","12.6",2019,"Elwood College   ELWOOD"
"Emerald Secondary College",NA,"EMERALD","147","53","93","74","56.6","29","4.3",2019,"Emerald Secondary College   EMERALD"
"Emmanuel College",NA,"ALTONA NORTH","373","59","209","83","89.1","29","4.0",2019,"Emmanuel College   ALTONA NORTH"
"Emmanuel College",NA,"WARRNAMBOOL","279","41","122","22","75.2","28","5.7",2019,"Emmanuel College   WARRNAMBOOL"
"Emmaus College",NA,"VERMONT SOUTH","303","53","57","16","86.2","31","9.3",2019,"Emmaus College   VERMONT SOUTH"
"Epping Secondary College",NA,"EPPING","262","62","170","93","85.7","29","3.0",2019,"Epping Secondary College   EPPING"
"Essendon Keilor College",NA,"ESSENDON","157","37","76","30","90.5","25","1.9",2019,"Essendon Keilor College   ESSENDON"
"Euroa Secondary College",NA,"EUROA","79","33","53","24","58.1","26","2.9",2019,"Euroa Secondary College   EUROA"
"F.C.J. College",NA,"BENALLA","67","22","85","16","65.2","30","8.7",2019,"F.C.J. College   BENALLA"
"Fairhills High School",NA,"KNOXFIELD","127","46","156","32","60.7","26","2.3",2019,"Fairhills High School   KNOXFIELD"
"Federation Training",NA,"NEWBOROUGH","30","13","157","137","4.5","23","0",2019,"Federation Training   NEWBOROUGH"
"Federation University Australia","*","BALLARAT","19","6","144","156","-","-","-",2019,"Federation University Australia   BALLARAT"
"Fintona Girls School",NA,"BALWYN","95","28","< 4","-","95.5","34","18.2",2019,"Fintona Girls School   BALWYN"
"Firbank Grammar School",NA,"BRIGHTON","227","41","22","-","99.1","36","24.1",2019,"Firbank Grammar School   BRIGHTON"
"Fitzroy High School",NA,"FITZROY NORTH","118","43","51","36","92.1","28","3.9",2019,"Fitzroy High School   FITZROY NORTH"
"Flinders Christian Comm College",NA,"TYABB","122","40","49","18","88.6","29","4.8",2019,"Flinders Christian Comm College   TYABB"
"Flinders Christian Comm College",NA,"CARRUM DOWNS","110","40","36","23","90.6","29","3.0",2019,"Flinders Christian Comm College   CARRUM DOWNS"
"Footscray City College",NA,"FOOTSCRAY","210","49","80","31","88.8","29","5.6",2019,"Footscray City College   FOOTSCRAY"
"Forest Hill College",NA,"BURWOOD EAST","129","32","52","-","89.6","25","0",2019,"Forest Hill College   BURWOOD EAST"
"Foster Secondary College",NA,"FOSTER","51","26","45","14","90.5","29","7.2",2019,"Foster Secondary College   FOSTER"
"Foundation Learning Centre",NA,"NARRE WARREN","22","6","97","83","-","-","-",2019,"Foundation Learning Centre   NARRE WARREN"
"Fountain Gate Sec College",NA,"FOUNTAIN GATE","157","43","117","-","74.5","26","1.0",2019,"Fountain Gate Sec College   FOUNTAIN GATE"
"Frankston High School",NA,"FRANKSTON","449","71","170","-","78","32","11.8",2019,"Frankston High School   FRANKSTON"
"Galen College",NA,"WANGARATTA","249","51","206","77","75.8","29","4.5",2019,"Galen College   WANGARATTA"
"Geelong Baptist College",NA,"LOVELY BANKS","50","27","24","17","86.4","27","3.3",2019,"Geelong Baptist College   LOVELY BANKS"
"Geelong Grammar School",NA,"CORIO","195","33","-","-","83.5","30","5.8",2019,"Geelong Grammar School   CORIO"
"Geelong High School",NA,"EAST GEELONG","184","53","102","37","51.9","26","1.5",2019,"Geelong High School   EAST GEELONG"
"Geelong Lutheran College",NA,"ARMSTRONG CREEK","61","32","37","8","93.9","28","2.5",2019,"Geelong Lutheran College   ARMSTRONG CREEK"
"Genazzano F.C.J. College",NA,"KEW","266","38","9","-","100","35","23.3",2019,"Genazzano F.C.J. College   KEW"
"Gilmore College For Girls",NA,"FOOTSCRAY","27","13","-","-","96.2","25","0",2019,"Gilmore College For Girls   FOOTSCRAY"
"Gilson College",NA,"TAYLORS HILL","120","41","105","23","89.2","29","3.9",2019,"Gilson College   TAYLORS HILL"
"Gilson College","*","MERNDA","14","16","< 4","-","83.3","28","6.5",2019,"Gilson College   MERNDA"
"Gippsland Grammar",NA,"SALE","174","44","66","20","83.1","32","11.8",2019,"Gippsland Grammar   SALE"
"Girton Grammar School",NA,"BENDIGO","235","49","23","-","94.7","32","11.8",2019,"Girton Grammar School   BENDIGO"
"Gisborne Secondary College",NA,"GISBORNE","181","40","98","33","75.900000000000006","24","1.8",2019,"Gisborne Secondary College   GISBORNE"
"Gladstone Park Sec College",NA,"GLADSTONE PARK","283","43","114","73","87.3","28","2.8",2019,"Gladstone Park Sec College   GLADSTONE PARK"
"Glen Eira College",NA,"CAULFIELD EAST","136","47","34","-","87.8","30","5.7",2019,"Glen Eira College   CAULFIELD EAST"
"Glen Waverley Sec College",NA,"GLEN WAVERLEY","568","70","62","-","95.3","33","13.9",2019,"Glen Waverley Sec College   GLEN WAVERLEY"
"Gleneagles Secondary College",NA,"ENDEAVOUR HILLS","228","52","47","< 4","84.4","27","5.3",2019,"Gleneagles Secondary College   ENDEAVOUR HILLS"
"Glenroy Neighbourhood Centre","*","GLENROY","< 4","3","13","13","I/D","I/D","I/D",2019,"Glenroy Neighbourhood Centre   GLENROY"
"Glenroy Secondary College",NA,"GLENROY","63","20","35","68","93.9","24","0.9",2019,"Glenroy Secondary College   GLENROY"
"Glenvale School",NA,"EPPING","138","15","181","-","0","30","9.4",2019,"Glenvale School   EPPING"
"Good News Lutheran College",NA,"TARNEIT","31","20","13","-","79.3","24","0",2019,"Good News Lutheran College   TARNEIT"
"Good Shepherd College","*","HAMILTON","16","17","18","-","75","30","3.8",2019,"Good Shepherd College   HAMILTON"
"Gordon Institute of TAFE",NA,"GEELONG","107","33","153","183","32.1","21","5.6",2019,"Gordon Institute of TAFE   GEELONG"
"Goroke P-12 College","*","GOROKE","7","10","5","5","100","34","25.0",2019,"Goroke P-12 College   GOROKE"
"Goulburn Ovens Inst of TAFE",NA,"SHEPPARTON","22","9","151","149","-","I/D","I/D",2019,"Goulburn Ovens Inst of TAFE   SHEPPARTON"
"Goulburn Valley Grammar Schl",NA,"SHEPPARTON","153","26","-","-","95.5","33","17.5",2019,"Goulburn Valley Grammar Schl   SHEPPARTON"
"Greensborough Sec College",NA,"GREENSBOROUGH","107","32","75","45","78.3","26","3.0",2019,"Greensborough Sec College   GREENSBOROUGH"
"Grovedale College",NA,"GROVEDALE","167","44","123","39","64.5","25","1.2",2019,"Grovedale College   GROVEDALE"
"Haileybury College",NA,"KEYSBOROUGH","480","52","22","-","92.2","36","29.2",2019,"Haileybury College   KEYSBOROUGH"
"Haileybury Girls College",NA,"KEYSBOROUGH","375","49","21","-","97.1","36","30.6",2019,"Haileybury Girls College   KEYSBOROUGH"
"Haileybury Rendall School",NA,"BERRIMAH","41","20","31","23","31.6","28","1.8",2019,"Haileybury Rendall School   BERRIMAH"
"Hallam Senior Sec College",NA,"HALLAM","283","47","416","254","49.2","22","0.3",2019,"Hallam Senior Sec College   HALLAM"
"Hampton Park Sec College",NA,"HAMPTON PARK","212","41","102","107","71","27","0.4",2019,"Hampton Park Sec College   HAMPTON PARK"
"Hawkesdale College","*","HAWKESDALE","14","16","7","7","33.299999999999997","25","3.0",2019,"Hawkesdale College   HAWKESDALE"
"Hazel Glen College",NA,"DOREEN","64","13","141","32","-","29","0",2019,"Hazel Glen College   DOREEN"
"Healesville High School",NA,"HEALESVILLE","77","31","59","46","84.6","28","3.1",2019,"Healesville High School   HEALESVILLE"
"Heathdale Christian College",NA,"WERRIBEE","99","41","128","11","100","30","8.7",2019,"Heathdale Christian College   WERRIBEE"
"Heatherton Christian College",NA,"CLARINDA","42","17","27","-","86.7","30","13.8",2019,"Heatherton Christian College   CLARINDA"
"Heathmont College",NA,"HEATHMONT","107","46","40","27","69.400000000000006","26","0.8",2019,"Heathmont College   HEATHMONT"
"Heritage College","*","OFFICER","20","16","10","12","66.7","28","3.0",2019,"Heritage College   OFFICER"
"Hester Hornbrook Academy","*","SOUTH MELBOURNE","4","6","127","231","-","-","-",2019,"Hester Hornbrook Academy   SOUTH MELBOURNE"
"Heywood & District Sec College",NA,"HEYWOOD","24","18","26","12","40","26","0",2019,"Heywood & District Sec College   HEYWOOD"
"Highvale Secondary College",NA,"GLEN WAVERLEY","215","43","6","-","86.1","31","9.3",2019,"Highvale Secondary College   GLEN WAVERLEY"
"Highview Christian Comm College",NA,"MARYBOROUGH","67","24","57","-","76","26","0.9",2019,"Highview Christian Comm College   MARYBOROUGH"
"Hillcrest Christian College",NA,"CLYDE NORTH","121","43","54","17","83.7","29","4.7",2019,"Hillcrest Christian College   CLYDE NORTH"
"Holmes Secondary College","*","MELBOURNE","17","12","31","31","100","23","0",2019,"Holmes Secondary College   MELBOURNE"
"Holmesglen Institute",NA,"HOLMESGLEN","-","-","28","28","-","-","-",2019,"Holmesglen Institute   HOLMESGLEN"
"Holmesglen Institute of TAFE",NA,"MOORABBIN","21","13","177","230","-","-","-",2019,"Holmesglen Institute of TAFE   MOORABBIN"
"Holy Trinity Lutheran College",NA,"HORSHAM","29","20","12","8","100","26","0",2019,"Holy Trinity Lutheran College   HORSHAM"
"Hopetoun P-12 College","*","HOPETOUN","11","11","6","9","75","18","0",2019,"Hopetoun P-12 College   HOPETOUN"
"Hoppers Crossing Sec College",NA,"HOPPERS CROSSING","240","48","116","46","65.400000000000006","28","4.9",2019,"Hoppers Crossing Sec College   HOPPERS CROSSING"
"Horsham College",NA,"HORSHAM","145","41","128","34","70.599999999999994","28","4.3",2019,"Horsham College   HORSHAM"
"Hume Anglican Grammar",NA,"MICKLEHAM","66","24","< 4","-","92","30","5.5",2019,"Hume Anglican Grammar   MICKLEHAM"
"Hume Central Sec College",NA,"BROADMEADOWS","161","32","126","116","82.8","26","3.1",2019,"Hume Central Sec College   BROADMEADOWS"
"Huntingtower School",NA,"MOUNT WAVERLEY","173","34","21","-","98.9","37","33.2",2019,"Huntingtower School   MOUNT WAVERLEY"
"Ilim College",NA,"BROADMEADOWS","102","22","< 4","-","95.8","30","5.3",2019,"Ilim College   BROADMEADOWS"
"Ilim College Kiewa Campus",NA,"DALLAS","71","18","6","-","80.400000000000006","25","2.7",2019,"Ilim College Kiewa Campus   DALLAS"
"Islamic College of Melbourne",NA,"TARNEIT","53","16","43","-","100","28","4.5",2019,"Islamic College of Melbourne   TARNEIT"
"Ivanhoe Girls' Grammar School",NA,"IVANHOE","238","36","91","-","99.1","34","18.7",2019,"Ivanhoe Girls' Grammar School   IVANHOE"
"Ivanhoe Grammar School",NA,"IVANHOE","275","33","29","-","93.1","34","16.4",2019,"Ivanhoe Grammar School   IVANHOE"
"Ivanhoe Grammar School",NA,"MERNDA","135","33","7","-","97.3","33","14.5",2019,"Ivanhoe Grammar School   MERNDA"
"John Fawkner College",NA,"FAWKNER","72","24","99","34","44.8","23","0.9",2019,"John Fawkner College   FAWKNER"
"John Monash Science School",NA,"CLAYTON","435","48","8","-","99.1","34","16.3",2019,"John Monash Science School   CLAYTON"
"John Paul College",NA,"FRANKSTON","186","44","59","47","88.8","29","4.1",2019,"John Paul College   FRANKSTON"
"Kambrya College",NA,"BERWICK","196","61","198","152","85.4","30","4.9",2019,"Kambrya College   BERWICK"
"Kangan Institute of TAFE",NA,"BROADMEADOWS","30","25","191","231","12.5","17","0",2019,"Kangan Institute of TAFE   BROADMEADOWS"
"Kaniva P-12 College",NA,"KANIVA","24","19","17","23","14.3","29","5.0",2019,"Kaniva P-12 College   KANIVA"
"Kardinia Internatl College",NA,"BELL POST HILL","277","43","30","-","88.7","32","13.0",2019,"Kardinia Internatl College   BELL POST HILL"
"Keilor Downs College",NA,"KEILOR DOWNS","266","54","164","75","92.7","29","4.1",2019,"Keilor Downs College   KEILOR DOWNS"
"Kensington Comm High School","*","KENSINGTON","< 4","2","34","39","I/D","I/D","I/D",2019,"Kensington Comm High School   KENSINGTON"
"Kerang Christian College","*","KERANG","11","8","-","-","100","25","0",2019,"Kerang Christian College   KERANG"
"Kerang Technical High School",NA,"KERANG","63","20","36","-","58.6","27","1.7",2019,"Kerang Technical High School   KERANG"
"Kew High School",NA,"KEW EAST","307","45","53","-","89.8","32","12.3",2019,"Kew High School   KEW EAST"
"Keysborough SC - Acacia",NA,"KEYSBOROUGH","159","47","50","37","91.5","26","1.9",2019,"Keysborough SC - Acacia   KEYSBOROUGH"
"Keysborough SC - Banksia",NA,"SPRINGVALE SOUTH","201","51","100","42","87.1","27","1.5",2019,"Keysborough SC - Banksia   SPRINGVALE SOUTH"
"Kilbreda College",NA,"MENTONE","232","49","98","19","88.8","31","7.8",2019,"Kilbreda College   MENTONE"
"Killester College",NA,"SPRINGVALE","205","47","109","19","99.2","31","6.2",2019,"Killester College   SPRINGVALE"
"Kilvington Grammar School",NA,"ORMOND","157","35","7","-","98.7","36","23.8",2019,"Kilvington Grammar School   ORMOND"
"Kings College",NA,"WARRNAMBOOL","21","13","< 4","-","57.1","32","4.3",2019,"Kings College   WARRNAMBOOL"
"Kingswood College",NA,"BOX HILL","142","35","98","-","100","32","12.6",2019,"Kingswood College   BOX HILL"
"Kolbe Catholic College",NA,"GREENVALE","173","38","292","67","96","26","1.0",2019,"Kolbe Catholic College   GREENVALE"
"Koo Wee Rup Sec College",NA,"KOO WEE RUP","150","38","126","101","93","28","4.4",2019,"Koo Wee Rup Sec College   KOO WEE RUP"
"Koonung Secondary College",NA,"MONT ALBERT NORTH","218","49","31","-","93.4","33","9.4",2019,"Koonung Secondary College   MONT ALBERT NORTH"
"Korowa Anglican Girls' School",NA,"GLEN IRIS","147","31","< 4","-","100","37","29.7",2019,"Korowa Anglican Girls' School   GLEN IRIS"
"Korumburra Sec College",NA,"KORUMBURRA","52","26","47","32","92.3","29","5.3",2019,"Korumburra Sec College   KORUMBURRA"
"Kurnai College",NA,"CHURCHILL","205","50","207","116","61.6","27","1.9",2019,"Kurnai College   CHURCHILL"
"Kurunjang Secondary College",NA,"MELTON","90","30","61","47","79.599999999999994","25","0.4",2019,"Kurunjang Secondary College   MELTON"
"Kyabram P-12 College",NA,"KYABRAM","121","38","84","42","39","27","0.9",2019,"Kyabram P-12 College   KYABRAM"
"Kyneton Secondary College",NA,"KYNETON","85","20","95","44","74.400000000000006","27","1.5",2019,"Kyneton Secondary College   KYNETON"
"Lake Bolac College","*","LAKE BOLAC","< 4","6","7","6","I/D","I/D","I/D",2019,"Lake Bolac College   LAKE BOLAC"
